# logAge MH Bmag Vmag Rmag
8.60 0.15 10.0200 9.0000 8.3200
8.60 0.15 9.9851 8.9687 8.2911
8.60 0.15 9.9502 8.9373 8.2621
8.60 0.15 9.9153 8.9060 8.2332
8.60 0.15 9.8804 8.8747 8.2042
8.60 0.15 9.8455 8.8434 8.1753
8.60 0.15 9.8106 8.8120 8.1463
8.60 0.15 9.7757 8.7807 8.1174
8.60 0.15 9.7408 8.7494 8.0884
8.60 0.15 9.7059 8.7180 8.0595
8.60 0.15 9.6710 8.6867 8.0305
8.60 0.15 9.6361 8.6554 8.0016
8.60 0.15 9.6012 8.6241 7.9726
8.60 0.15 9.5663 8.5927 7.9437
8.60 0.15 9.5314 8.5614 7.9147
8.60 0.15 9.4965 8.5301 7.8858
8.60 0.15 9.4616 8.4987 7.8568
8.60 0.15 9.4267 8.4674 7.8279
8.60 0.15 9.3918 8.4361 7.7989
8.60 0.15 9.3569 8.4048 7.7700
8.60 0.15 9.3220 8.3734 7.7411
8.60 0.15 9.2871 8.3421 7.7121
8.60 0.15 9.2522 8.3108 7.6832
8.60 0.15 9.2173 8.2794 7.6542
8.60 0.15 9.1824 8.2481 7.6253
8.60 0.15 9.1475 8.2168 7.5963
8.60 0.15 9.1126 8.1855 7.5674
8.60 0.15 9.0777 8.1541 7.5384
8.60 0.15 9.0428 8.1228 7.5095
8.60 0.15 9.0079 8.0915 7.4805
8.60 0.15 8.9730 8.0602 7.4516
8.60 0.15 8.9381 8.0288 7.4226
8.60 0.15 8.9032 7.9975 7.3937
8.60 0.15 8.8683 7.9662 7.3647
8.60 0.15 8.8334 7.9348 7.3358
8.60 0.15 8.7985 7.9035 7.3068
8.60 0.15 8.7636 7.8722 7.2779
8.60 0.15 8.7287 7.8409 7.2489
8.60 0.15 8.6938 7.8095 7.2200
8.60 0.15 8.6589 7.7782 7.1911
8.60 0.15 8.6240 7.7469 7.1621
8.60 0.15 8.5891 7.7155 7.1332
8.60 0.15 8.5542 7.6842 7.1042
8.60 0.15 8.5193 7.6529 7.0753
8.60 0.15 8.4844 7.6216 7.0463
8.60 0.15 8.4495 7.5902 7.0174
8.60 0.15 8.4146 7.5589 6.9884
8.60 0.15 8.3797 7.5276 6.9595
8.60 0.15 8.3448 7.4962 6.9305
8.60 0.15 8.3099 7.4649 6.9016
8.60 0.15 8.2750 7.4336 6.8726
8.60 0.15 8.2401 7.4023 6.8437
8.60 0.15 8.2052 7.3709 6.8147
8.60 0.15 8.1703 7.3396 6.7858
8.60 0.15 8.1354 7.3083 6.7568
8.60 0.15 8.1005 7.2769 6.7279
8.60 0.15 8.0656 7.2456 6.6989
8.60 0.15 8.0307 7.2143 6.6700
8.60 0.15 7.9958 7.1830 6.6411
8.60 0.15 7.9609 7.1516 6.6121
8.60 0.15 7.9260 7.1203 6.5832
8.60 0.15 7.8911 7.0890 6.5542
